name,price,link
Arctic Mx-4 (4 Gramos) Pasta Térmica 4gr 8gr 20gr,17.2,https://www.mercadolibre.com.ec/arctic-mx-4-4-gramos-pasta-termica-4gr-8gr-20gr/p/MEC21345357#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC528554630&sid=search
Monitor Portátil Viewsonic Full Hd 16 PuLG Va1655 + Mochila Negro,137.99,https://www.mercadolibre.com.ec/monitor-portatil-viewsonic-full-hd-16-pulg-va1655-mochila-negro/p/MEC62586745#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC719875502&sid=search
Teclado Gamer Mecanico Meetion Mk007 Pro Hot Swap Full Led Teclado Gris Oscuro Idioma Español Latinoamérica,30.1,https://www.mercadolibre.com.ec/teclado-gamer-mecanico-meetion-mk007-pro-hot-swap-full-led-teclado-gris-oscuro-idioma-espanol-latinoamerica/p/MEC46561767#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC617333586&sid=search
Unidad Ssd M.2 Nvme Kingston Fury Renegade+disipador 1t Ps5,198.0,https://www.mercadolibre.com.ec/unidad-ssd-m2-nvme-kingston-fury-renegadedisipador-1t-ps5/p/MEC21626515#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC717198116&sid=search
Tarjeta De Video Asus Nvidia Gt730 2gb 4 Hdmi Ddr5 Pci-e 2.0,209.99,https://www.mercadolibre.com.ec/tarjeta-de-video-asus-nvidia-gt730-2gb-4-hdmi-ddr5-pci-e-20/p/MEC64906248#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC755664508&sid=search
Parlante Genius Soundbar 200bt Rgb Bluetooth 5.1 Usb,24.99,https://www.mercadolibre.com.ec/parlante-genius-soundbar-200bt-rgb-bluetooth-51-usb/p/MEC20013557#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC614862080&sid=search
Mouse Gamer Logitech G Series Lightsync G203 Azul,25.73,https://www.mercadolibre.com.ec/mouse-gamer-logitech-g-series-lightsync-g203-azul/p/MEC16211424#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC603643244&sid=search
Case Corsair Icue Link 3500x Lx-r Rgb Vidrio Templado 3 Fan Blanco,169.99,https://www.mercadolibre.com.ec/case-corsair-icue-link-3500x-lxr-rgb-vidrio-templado-3-fan/up/MECU3525309216#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC700414798&sid=search
Memoria RAM Fury Beast DDR5 gamer color negro 16GB 1 Kingston KF548C38BB-16,279.99,https://www.mercadolibre.com.ec/memoria-ram-fury-beast-ddr5-gamer-color-negro-16gb-1-kingston-kf548c38bb-16/p/MEC18648407#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC521560570&sid=search
Mouse gamer de juego inalámbrico Logitech G Serie G Lightspeed G305 white,42.14,https://www.mercadolibre.com.ec/mouse-gamer-de-juego-inalambrico-logitech-g-serie-g-lightspeed-g305-white/p/MEC11259956#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=bd617cfe-cbda-40bd-9950-daf5f805fd27&wid=MEC685506076&sid=search
