name,price,link
Gabinete Gaming Antec Torque Mid Tower ATX Vidrio Templado Negro,649.99,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=bZw7UHlmOg8MT6upwDenN0C6dA9vcWbO6vrFvJc3kLAvhNGKa3p1P4RdXOKh2nwdfqCl4do3Qu9VAlHIQ4FJ9oWHj09YIElbu8257GfN%2FCf35E0LDKaazkOL4JjhnWqr4pq0zbEdJOifi3bmUw%2BAf2PBgA9WRZgp37Ra3NvRbt5jkr3SEot1O299%2BV0yntjTFf0fU3fAqzN3tl1BkOXdejScnJYOiWjWvQxLmupx9JOB%2B2YXfjxtkzGUu%2BoPzJadvUj9Doy%2F0ahSUEJVekOh6zPKs0CFhXdB%2FJXtZx2qJyYQLP5dKuEmRpmVtwLaWy5wlmQRa9hWy4kGZ7dPDFkOSUz0CONueE%2BfyVpxVk%2Bchs2PMMGW1sCk6XJ6CR07X7bqfoNq9AkVaCIOxoPyZTG2qY6JzaRR8c6rOrdn4vvNII%2F4mhGkMwTsVI1zFf9SEK8Mu%2BAGGx9ViqNw0ceGZzLvUYTcNuu9Fhh8Hi8kgaY2c6D3V5lgaiS0LjLAVCMmq2YFpQ20kJtM7Bk8%2BI83FspjvU4w17PCX9Ykei1PoSOWuvMWFBLM2H6NSI19v%2F514Q67nUyf6vENcQtgRY8oN7MWK12hp6iC5eA85GSMg3depTe9yhrMRQWeQ85EJ2sdW7R%2Fc9%2B22I0XO%2BSWChMMORIQq%2FBPgZKS01bq4fhn9%2FymykebNvpz6uchjhWPmmKHHRBzNWVU5%2B%2FHtN1QeTZHPIY64MC%2BFo4AntFaKcqkzsz4JMckOUxD9ZPPaQtnJCzTgTth%2Bt0xTRn9CjeLBj00uu0BZ1vwymYUWXQ3Bm6P15IZQAO%2F%2BwKidx5cISiLt4EC0TXMv8tRyDMw7xr5c3DK07trJZvZVAjuIs0%2Fvhlex9Mj2IdoX%2F3HRXBG1H2ycFV5%2Bc%2BlLWPjxxyHx1BlfAKNoabMV8eDbmMmb6B1UEn85czlu2H4Bup7VlrtCKbJab6f#polycard_client=search-desktop&is_advertising=true&searchVariation=MEC25708960&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC549978536&sid=search
Computador Gamer Pc Cpu Amd Ryzen 7 5700g Ssd 500g +16gb Ram 500 Gb 16 Gb Video Radeon,599.0,https://www.mercadolibre.com.ec/computador-gamer-pc-cpu-amd-ryzen-7-5700g-ssd-500g-16gb-ram/up/MECU2662677861#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516927536&sid=search
Gabinete Gamer Corsair 4000d Frame Rs Argb 3x120mm Fans,129.99,https://www.mercadolibre.com.ec/gabinete-gamer-corsair-4000d-frame-rs-argb-3x120mm-fans/p/MEC46210168#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC650065546&sid=search
Portátil Msi Cyborg 15 A13ve-218 15.6 Core I7 Rtx 4050 Color Negro 16 GB 512 GB Intel Core i7-13620H,1231.0,https://www.mercadolibre.com.ec/portatil-msi-cyborg-15-a13ve-218-156-core-i7-rtx-4050-color-negro-16-gb-512-gb-intel-core-i7-13620h/p/MEC29026405#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC723008720&sid=search
Mini PC Apple Mac Mini M4 16gb Ram 256gb Ssd color plata,950.0,https://www.mercadolibre.com.ec/mini-pc-apple-mac-mini-m4-16gb-ram-256gb-ssd-color-plata/p/MEC63742647#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC757510514&sid=search
Computador Gamer Cpu Ryzen 5 8500g Video Radeon + 16gb + Ssd 500 Gb 16 Gb Radeon 740m,629.0,https://www.mercadolibre.com.ec/computador-gamer-cpu-ryzen-5-8500g-video-radeon--16gb--ssd/up/MECU3249180718#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC637390644&sid=search
Case Armaggeddon Tritron Pro 300 Wh Incluido X4 Argb Fans Color White,53.31,https://www.mercadolibre.com.ec/case-armaggeddon-tritron-pro-300-wh-incluido-x4-argb-fans-color-white/p/MEC59420637#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC688454518&sid=search
"Laptop Lenovo V15 G4 Iru Core I3-1315u, 8gb Ddr4, Ssd 256gb Gris",449.99,https://www.mercadolibre.com.ec/laptop-lenovo-v15-g4-iru-core-i3-1315u-8gb-ddr4-ssd-256gb-gris/p/MEC50224113#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC751413862&sid=search
Nuc Intel Asus Celeron Mini Pc Modelo N150 Original Garanti,209.99,https://www.mercadolibre.com.ec/nuc-intel-asus-celeron-mini-pc-modelo-n150-original-garanti/up/MECU2667581322#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516328562&sid=search
Ltc Pc Gamer Ryzen 9 7900x3d X670e 32gb Ram 1tb Rtx 4070ti 32 Gb,3286.0,https://www.mercadolibre.com.ec/ltc-pc-gamer-ryzen-9-7900x3d-x670e-32gb-ram-1tb-rtx-4070ti/up/MECU2434230679#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517292317&sid=search
