name,price,link
Calculadora Casio Mx-12b-bk Color Lavanda,12.0,https://www.mercadolibre.com.ec/calculadora-casio-mx-12b-bk-color-lavanda/p/MEC24084861#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC674285886&sid=search
Calculadora Científica Casio Fx-991es Plus-2pk Rosa,36.99,https://www.mercadolibre.com.ec/calculadora-cientifica-casio-fx991es-plus2pk/up/MECU2434166711#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC570466698&sid=search
Calculadora  Dígitos Científica Fx8ms Plus  Negr 0 Funciones,9.17,https://www.mercadolibre.com.ec/calculadora--digitos-cientifica-fx8ms-plus--negr-0-funciones/up/MECU3689050024#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC733824604&sid=search
Calculadora Casio - Escuela Y Universidad Fx-9860gll Color Gris-azul,184.0,https://www.mercadolibre.com.ec/calculadora-casio-escuela-y-universidad-fx-9860gll-color-gris-azul/p/MEC26539523#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=&sid=search
Calculadora Casio  Gráfica Fx-9860giii Bachillerato Internac Blanco,214.0,https://www.mercadolibre.com.ec/calculadora-casio--grafica-fx9860giii-bachillerato-internac/up/MECU2434166687#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC518226213&sid=search
Calculadora científica Casio Calculadora cientifica FX-82LA Plus color negro,22.76,https://www.mercadolibre.com.ec/calculadora-cientifica-casio-calculadora-cientifica-fx-82la-plus-color-negro/p/MEC28114250#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC772681954&sid=search
Calculadora Casio Fx-991es Plus Tapa Plástica Color Rosado,36.99,https://www.mercadolibre.com.ec/calculadora-casio-fx-991es-plus-tapa-plastica-color-rosado/p/MEC62431091#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC766181504&sid=search
Calculadora Científica Fx-82laplus2-pk Rosado,21.37,https://www.mercadolibre.com.ec/calculadora-cientifica-fx82laplus2pk-rosado/up/MECU3689050042#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC733837626&sid=search
Calculadora Impresora Casio Hr-150rc Color Negro Negro,93.99,https://www.mercadolibre.com.ec/calculadora-impresora-casio-hr150rc-color-negro/up/MECU3215770991#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC625729734&sid=search
Calculadora Científica Casio Fx-991ex Funciones Avanzadas Negro,18.75,https://www.mercadolibre.com.ec/calculadora-cientifica-casio-fx991ex-funciones-avanzadas/up/MECU3805480568#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=d3c62db5-1ebf-4d21-90c5-ac461a95391e&wid=MEC765934786&sid=search
